Rank,Journal/Zeitschrift,Rating,JQ2 Quality Index
88,Multivariate Behavioral Research,B,7.7675592059
89,Journal of Accounting and Public Policy,B,7.7669560388
90,IEEE Transactions on Engineering Management,B,7.7607018027
91,Theory and Decision,B,7.7526398358
92,Research in Organizational Behavior,B,7.7519508415
93,Naval Research Logistics,B,7.7460837961
94,Journal of Heuristics,B,7.7356826194
95,Journal of Financial Markets,B,7.7290570561
96,Manufacturing and Service Operations Management,B,7.7216903762
97,Finance and Stochastics,B,7.7177487156
98,Journal of Consumer Psychology,B,7.7045618686
99,Annals of Operations Research,B,7.7014018486
100,Transportation Research Part B: Methodological,B,7.6992528004
101,Critical Perspectives on Accounting,B,7.6820827533
102,Journal of Financial Intermediation,B,7.6793060617
103,Journal of Combinatorial Optimization,B,7.6688368599
104,Journal of Risk and Uncertainty,B,7.6486136305
105,European Accounting Review,B,7.6471691944
106,"Accounting, Business and Financial History",B,7.6469793658
107,Nonprofit and Voluntary Sector Quarterly,B,7.6457657365
108,National Tax Journal,B,7.6431034483
109,"Journal of Money, Credit and Banking",B,7.643096782
110,Strategic Organization,B,7.6419492219
111,Ecological Economics,B,7.6342926632
112,Decision Sciences,B,7.630867457
113,Health Care Management Review,B,7.6297689177
114,Journal of the ACM JACM,B,7.6268016194
115,Quantitative Marketing and Economics,B,7.6239235881
116,Organizational Research Methods,B,7.6219054562
117,Abacus,B,7.5982546453
118,Journal of Business Logistics,B,7.5978999887
119,Journal of Public Policy and Marketing,B,7.5943394311
120,Journal of Vocational Behavior,B,7.5918541505
121,Proceedings of the International Conference on Conceptual Modeling – The Entity Relationship Approach (ER),B,7.5892865911
122,Journal of International Management,B,7.586772094
123,Personnel Psychology,B,7.5751227682
124,Business Strategy and the Environment,B,7.5725540504
125,Journal of International Marketing,B,7.5694172161
126,Public Administration,B,7.5641086725
127,Journal of Management Studies,B,7.5539687725
128,International Journal of Production Economics,B,7.5471033513
129,International Journal of Production Research,B,7.541089465
130,Review of Quantitative Finance and Accounting,B,7.5408492521
131,ACM Transactions on Database Systems,B,7.5354589088
132,International Review of Law and Economics,B,7.520574062
133,Fuzzy Sets and Systems,B,7.5141666479
134,International Journal of Industrial Organization,B,7.5067218114
135,Journal of Behavioral Decision Making,B,7.4931050479
136,Journal of Supply Chain Management (formerly: International Journal of Purchasing and Materials Management),B,7.4851803356
137,System Dynamics Review,B,7.4662670387
138,International Journal of Electronic Commerce (IJEC),B,7.4586624351
139,Business & Society,B,7.4433847468
140,FinanzArchiv,B,7.4425215885
141,Computers and Operations Research,B,7.4377642508
142,Managementforschung Jahrbuch,B,7.4273768167
143,International Journal of Physical Distribution and Logistics Management,B,7.4146063427
144,Transportation Research Part A: Policy and Practice,B,7.4004340596
145,Journal of Organizational Behavior,B,7.4000778517
146,Journal of World Business (formerly: Columbia Journal of World Business),B,7.3854383322
147,European Journal of Health Economics (formerly: HEPAC: Health Economics in Prevention and Care),B,7.3830474307
148,Psychology and Marketing,B,7.3828756173
149,Journal of Management Inquiry,B,7.3824144853
150,Leadership Quarterly,B,7.3720530214
151,European Financial Management,B,7.3716992642
152,Proceedings of the European Conference on Information Systems (ECIS),B,7.3675158996
153,Database,B,7.3635358874
154,Journal of Corporate Finance,B,7.3632519699
155,Geneva Papers on Risk and Insurance: Issues and Practice,B,7.3630596703
156,Structural Equation Modeling,B,7.3489264648
157,Journal of the Operational Research Society JORS (ehemals: Operational Research Quarterly),B,7.3478364137
158,International Economic Review,B,7.3455482859
159,Applied Economics,B,7.3400273705
160,Journal of Occupational and Organizational Psychology,B,7.3371122251
161,International Journal of Human Resource Management,B,7.3370436405
162,Transportation Research Part E: Logistics and Transportation Review (formerly: Logistics and Transportation Review),B,7.3326716141
163,Review of Financial Economics,B,7.3172808058
164,Journal of Interactive Marketing,B,7.3157104418
165,Omega,B,7.314362596
166,Journal of Managerial Psychology,B,7.3061714535
167,Journal of Small Business Management (JSBM),B,7.2984095488
168,Operations Research Letters,B,7.2967741935
